orig_idx,grade,band,cluster,signal1_grade,signal2_normalised,bloom_weighted,result_bloom,pfr_bloom,learning_bloom,bloom_penalty,disparity,final_grade,difference,confirmed,confidence,flag_for_review,flags
1065,6.3,Pass,6,7.81,6.22,2.4,2.0,2.0,3.0,1.0,1.59,6.86,0.56,True,high,False,
1176,5.7,Pass,10,8.0,6.74,2.8,2.0,3.0,3.0,1.0,1.26,7.24,1.54,False,high,False,
1208,5.7,Pass,7,7.28,5.06,1.8,1.0,2.0,2.0,1.0,2.22,5.95,0.25,True,medium,False,high_disparity
1168,5.7,Pass,17,5.83,6.22,2.4,2.0,2.0,3.0,1.0,0.39,6.07,0.37,True,high,False,
1131,5.7,Pass,17,5.71,5.06,1.8,1.0,2.0,2.0,1.0,0.65,5.32,0.38,True,high,False,
1193,5.7,Pass,17,5.75,6.48,2.6,3.0,2.0,3.0,1.0,0.73,6.19,0.49,True,high,False,
1017,6.67,Credit,28,8.32,5.96,2.2,1.0,2.0,3.0,1.0,2.36,6.9,0.23,True,medium,False,high_disparity
949,7.3,Credit,38,7.1,7.2,3.2,2.0,4.0,3.0,1.0,0.1,7.16,0.14,True,medium,False,low_similarity
943,7.33,Credit,0,9.0,7.2,3.2,2.0,4.0,3.0,0.925,1.8,7.65,0.32,True,high,False,
1023,6.5,Credit,1,6.56,5.7,2.0,2.0,2.0,2.0,1.0,0.86,6.04,0.46,True,high,False,
1003,6.9,Credit,25,8.37,6.48,2.6,3.0,2.0,3.0,1.0,1.89,7.23,0.33,True,medium,False,small_cluster
1007,6.9,Credit,6,7.5,6.74,2.8,2.0,3.0,3.0,1.0,0.76,7.04,0.14,True,high,False,
969,7.0,Credit,37,9.15,6.22,2.4,2.0,2.0,3.0,1.0,2.93,7.39,0.39,True,medium,False,high_disparity
984,7.0,Credit,16,6.24,5.7,2.0,2.0,2.0,2.0,1.0,0.54,5.92,1.08,False,high,False,
1035,6.5,Credit,1,6.61,7.8,3.8,1.0,5.0,4.0,1.0,1.19,7.32,0.82,True,high,False,
950,7.3,Credit,37,8.67,6.48,2.6,3.0,2.0,3.0,1.0,2.19,7.36,0.06,True,medium,False,high_disparity
1018,6.67,Credit,36,8.75,5.96,2.2,1.0,3.0,2.0,1.0,2.79,7.08,0.41,True,medium,False,high_disparity
1019,6.6,Credit,37,8.28,5.06,1.8,1.0,2.0,2.0,1.0,3.22,6.35,0.25,True,medium,False,high_disparity
939,7.43,Credit,0,8.69,5.7,2.0,2.0,2.0,2.0,1.0,2.99,6.9,0.53,True,medium,False,high_disparity
1020,6.5,Credit,0,8.64,5.06,1.8,1.0,2.0,2.0,0.95,3.58,6.32,0.18,True,medium,False,high_disparity
957,7.3,Credit,38,7.48,6.74,2.8,2.0,3.0,3.0,1.0,0.74,7.04,0.26,True,high,False,
